sess_id,seqnum,tradedate,tradetime,ticker,clgroup,pos,pos_long,pos_short,pos_long_num,pos_short_num,systime,trade_session_date
6989,59,2024-02-09,23:50:00,Si,FIZ,43552,396796,-353244,8500,8768,2025-06-21 16:22:46,2024-02-09
6989,13,2024-02-09,20:00:00,Si,YUR,-45553,2729751,-2775304,256,148,2025-06-21 16:22:46,2024-02-09
6989,13,2024-02-09,20:00:00,Si,FIZ,45553,401206,-355653,8726,8838,2025-06-21 16:22:46,2024-02-09
6988,141,2024-02-09,16:00:00,Si,YUR,-59232,2729641,-2788873,262,152,2025-06-21 16:22:46,2024-02-09
6988,141,2024-02-09,16:00:00,Si,FIZ,59232,411900,-352668,8991,9075,2025-06-21 16:22:46,2024-02-09
6988,94,2024-02-09,12:00:00,Si,YUR,-59895,2720931,-2780826,277,148,2025-06-21 16:22:46,2024-02-09
6988,94,2024-02-09,12:00:00,Si,FIZ,59895,411045,-351150,9195,9199,2025-06-21 16:22:46,2024-02-09
6988,59,2024-02-09,09:05:00,Si,YUR,-105474,2710333,-2815807,291,123,2025-06-21 16:22:46,2024-02-09
6988,59,2024-02-09,09:05:00,Si,FIZ,105474,430759,-325285,9539,8521,2025-06-21 16:22:46,2024-02-09
6991,57,2024-02-13,23:50:00,Si,YUR,-117208,2815487,-2932695,302,113,2025-06-21 16:22:46,2024-02-13
6991,57,2024-02-13,23:50:00,Si,FIZ,117208,421134,-303926,9877,7552,2025-06-21 16:22:46,2024-02-13
6991,11,2024-02-13,20:00:00,Si,YUR,-120174,2812972,-2933146,300,116,2025-06-21 16:22:46,2024-02-13
6991,11,2024-02-13,20:00:00,Si,FIZ,120174,424885,-304711,9969,7615,2025-06-21 16:22:46,2024-02-13
6990,143,2024-02-13,16:00:00,Si,YUR,-139429,2834970,-2974399,300,129,2025-06-21 16:22:46,2024-02-13
6990,143,2024-02-13,16:00:00,Si,FIZ,139429,453857,-314428,10750,7742,2025-06-21 16:22:46,2024-02-13
6990,96,2024-02-13,12:00:00,Si,YUR,-130888,2828605,-2959493,288,133,2025-06-21 16:22:46,2024-02-13
6990,96,2024-02-13,12:00:00,Si,FIZ,130888,434830,-303942,9976,7839,2025-06-21 16:22:46,2024-02-13
6977,57,2024-01-24,23:50:00,Si,YUR,-169016,2296417,-2465433,297,114,2025-06-21 16:22:46,2024-01-24
6977,57,2024-01-24,23:50:00,Si,FIZ,169016,492611,-323595,10007,6152,2025-06-21 16:22:46,2024-01-24
6977,11,2024-01-24,20:00:00,Si,YUR,-170457,2296360,-2466817,296,113,2025-06-21 16:22:46,2024-01-24
6977,11,2024-01-24,20:00:00,Si,FIZ,170457,494575,-324118,10192,6196,2025-06-21 16:22:46,2024-01-24
6976,141,2024-01-24,16:00:00,Si,YUR,-177567,2291792,-2469359,303,119,2025-06-21 16:22:46,2024-01-24
6976,141,2024-01-24,16:00:00,Si,FIZ,177567,499332,-321765,10162,6409,2025-06-21 16:22:46,2024-01-24
6976,94,2024-01-24,12:00:00,Si,YUR,-176623,2300061,-2476684,309,116,2025-06-21 16:22:46,2024-01-24
6976,94,2024-01-24,12:00:00,Si,FIZ,176623,499004,-322381,10177,6657,2025-06-21 16:22:46,2024-01-24
6981,59,2024-01-30,23:50:00,Si,YUR,-126303,2412322,-2538625,313,103,2025-06-21 16:22:46,2024-01-30
6981,59,2024-01-30,23:50:00,Si,FIZ,126303,477154,-350851,10065,6941,2025-06-21 16:22:46,2024-01-30
6981,13,2024-01-30,20:00:00,Si,YUR,-127605,2412224,-2539829,313,103,2025-06-21 16:22:46,2024-01-30
6981,13,2024-01-30,20:00:00,Si,FIZ,127605,478798,-351193,10231,6941,2025-06-21 16:22:46,2024-01-30
6980,141,2024-01-30,16:00:00,Si,YUR,-121746,2412452,-2534198,304,116,2025-06-21 16:22:46,2024-01-30
6980,141,2024-01-30,16:00:00,Si,FIZ,121746,475064,-353318,10195,7437,2025-06-21 16:22:46,2024-01-30
6980,94,2024-01-30,12:00:00,Si,YUR,-112842,2387306,-2500148,304,119,2025-06-21 16:22:46,2024-01-30
6980,94,2024-01-30,12:00:00,Si,FIZ,112842,471183,-358341,10267,7670,2025-06-21 16:22:46,2024-01-30
6980,59,2024-01-30,09:05:00,Si,YUR,-111004,2363361,-2474365,300,115,2025-06-21 16:22:46,2024-01-30
6980,59,2024-01-30,09:05:00,Si,FIZ,111004,478526,-367522,9965,7581,2025-06-21 16:22:46,2024-01-30
6992,57,2024-02-14,23:50:00,Si,YUR,-128898,2876828,-3005726,325,102,2025-06-21 16:22:46,2024-02-14
6992,57,2024-02-14,23:50:00,Si,FIZ,128898,443040,-314142,10431,7078,2025-06-21 16:22:46,2024-02-14
6992,11,2024-02-14,20:00:00,Si,YUR,-137583,2867563,-3005146,325,102,2025-06-21 16:22:46,2024-02-14
6992,11,2024-02-14,20:00:00,Si,FIZ,137583,447124,-309541,10624,7107,2025-06-21 16:22:46,2024-02-14
6991,141,2024-02-14,16:00:00,Si,YUR,-152813,2840258,-2993071,332,102,2025-06-21 16:22:46,2024-02-14
6991,141,2024-02-14,16:00:00,Si,FIZ,152813,459384,-306571,10827,7210,2025-06-21 16:22:46,2024-02-14
6991,94,2024-02-14,12:00:00,Si,YUR,-130003,2816001,-2946004,324,109,2025-06-21 16:22:46,2024-02-14
